codigo,ayuntamiento,CODPROV,provincia,salario,poblacion,dedicación
47211,Villalba de la Loma,47,Valladolid,5408,39,sin dedicación
37353,Villalba de los Llanos,37,Salamanca,5446.6,39,sin dedicación
47213,Villalbarba,47,Valladolid,5499.99,39,sin dedicación
9439,Villalbilla de Burgos,9,Burgos,5500.03,39,sin dedicación
9440,Villalbilla de Gumiel,9,Burgos,5512.08,39,sin dedicación
49247,Villalcampo,49,Zamora,5546.67,39,sin dedicación
34215,Villalcázar de Sirga,34,Palencia,5602.55,39,sin dedicación
34216,Villalcón,34,Palencia,5708,39,sin dedicación
9441,Villaldemiro,9,Burgos,5797.02,38,sin dedicación
9442,Villalmanzo,9,Burgos,5890.5,38,sin dedicación
34217,Villalobón,34,Palencia,5905.62,38,sin dedicación
49248,Villalobos,49,Zamora,5935.05,38,sin dedicación
47214,Villalón de Campos,47,Valladolid,6000,37,sin dedicación
49250,Villalpando,49,Zamora,6000,37,sin dedicación
49251,Villalube,49,Zamora,6000,37,sin dedicación
34218,Villaluenga de la Vega,34,Palencia,6036,37,exclusiva
24211,Villamandos,24,León,6076.04,37,sin dedicación
24901,Villamanín,24,León,6082.53,37,sin dedicación
24212,Villamañán,24,León,6279.6,37,parcial
34220,Villamartín de Campos,34,Palencia,6400,37,sin dedicación
24213,Villamartín de Don Sancho,24,León,6478.62,36,sin dedicación
37354,Villamayor,37,Salamanca,6540.34,36,parcial
9444,Villamayor de Treviño,9,Burgos,6600,36,sin dedicación
9445,Villambistia,9,Burgos,6600,35,sin dedicación
34221,Villamediana,34,Palencia,6650,35,sin dedicación
